subtarea,checkpoint,metodo,clase,N_bins,ECE_hard,MCE_hard,Brier_hard,ECE_soft,Brier_soft
2.1,M3_vista_E_best,crudo,GLOBAL,10,0.1084,0.2316,0.1397,0.0294,0.0481
2.1,M3_vista_E_best,temperature(T=1.149),GLOBAL,10,0.133,0.253,0.1451,0.019,0.0477
2.1,M3_vista_E_best,blend0.6/0.4Gemini,GLOBAL,10,0.0748,0.2869,0.1287,0.0858,0.0528
2.1,vista_e_task21_max512,crudo,GLOBAL,10,0.1062,0.2046,0.1342,0.0787,0.0541
2.1,vista_e_task21_max512,temperature(T=1.291),GLOBAL,10,0.1378,0.2077,0.1447,0.0567,0.0526
2.1,vista_e_task21_max512_R,crudo,GLOBAL,10,0.1219,0.1659,0.1349,0.0524,0.0486
2.1,vista_e_task21_max512_R,temperature(T=1.105),GLOBAL,10,0.1388,0.2079,0.1393,0.0445,0.0484
2.1,vista_e_task21_longformer,crudo,GLOBAL,10,0.0932,0.1856,0.1321,0.0421,0.0491
2.1,vista_e_task21_longformer,temperature(T=1.273),GLOBAL,10,0.1269,0.2182,0.1414,0.0261,0.0475
2.1,vista_e_task21_longformer_R,crudo,GLOBAL,10,0.0971,0.1741,0.1351,0.0418,0.0494
2.1,vista_e_task21_longformer_R,temperature(T=1.291),GLOBAL,10,0.1311,0.2153,0.1448,0.0264,0.0477
2.1,Gemini_zeroshot,crudo,GLOBAL,10,0.0814,0.55,0.1438,0.1996,0.0915
2.2,vista_e_task22_best,crudo,NO,10,0.0969,0.2373,0.1736,0.0243,0.0474
2.2,vista_e_task22_best,crudo,DIRECT,10,0.119,0.3619,0.1851,0.0751,0.0492
2.2,vista_e_task22_best,crudo,JUDGEMENTAL,10,0.1783,0.3845,0.1238,0.0874,0.0427
2.2,vista_e_task22_best,crudo,MACRO_OvR,10,0.1314,,,,
2.2,vista_e_task22_best,platt,NO,10,0.0412,0.1281,0.1604,0.1055,0.0613
2.2,vista_e_task22_best,platt,DIRECT,10,0.0524,0.1104,0.1628,0.0666,0.0478
